feature,importance
rolling_mean_14,0.3396386
rolling_mean_7,0.3028652
rolling_mean_28,0.0722041
lag_1,0.03932463
quarter,0.020461434
lag_7,0.020141408
day_of_week,0.019335518
is_weekend,0.013951028
lag_28,0.012559287
is_month_start,0.011796371
lag_14,0.011272338
snap,0.010805149
sell_price,0.009729923
dept_id,0.009530124
is_event,0.009429349
month,0.008641547
week_of_year,0.008438374
item_id,0.008294662
year,0.008133329
days_since_start,0.008024271
day_of_month,0.007958388
price_rolling_mean_7,0.0077207885
store_id,0.007010444
state_id,0.006944975
is_month_end,0.0069305613
rolling_std_7,0.0066589746
cat_id,0.0066044303
price_change,0.005496913
price_missing,9.785629e-05
